0|iata_code|1|city_rus|2|city_eng
FUD|FUD|||Sui Fen He|Sui Fen He
FUE|FUE|||Puerto del Rosario|Puerto del Rosario
FUG|FUG|Фуан|Фуан|Fuyang|Fuyang
FUJ|FUJ|Фуку|Фуку|Fukue|Fukue
FUK|FUK|Фукуока|Фукуока|Fukuoka|Fukuoka
FUL|FUL|||Fullerton|Fullerton
FUM|FUM|Фума|Фума|Fuma|Fuma
FUN|FUN|||Funafuti Atol|Funafuti Atol
FUO|FUO|Фушань|Фушань|Fuoshan|Fuoshan
FUT|FUT|Футуна-Айленд|Футуна-Айленд|Futuna Island|Futuna Island
FVL|FVL|||Flora Valley|Flora Valley
FVR|FVR|||Forrest River|Forrest River
FWA|FWA|Форт Уэйн|Форт Уэйн|Fort Wayne|Fort Wayne
FWH|FWH|||Fort Worth, TX|Fort Worth, TX
FWL|FWL|||Farewell|Farewell
FWM|FWM|Форт-Вильям|Форт-Вильям|Fort William|Fort William
FXE|FXE|Форт Лодердейл|Форт Лодердейл|Fort Lauderdale|Fort Lauderdale
FXM|FXM|||Flaxman Island|Flaxman Island
FXO|FXO|||Cuamba|Cuamba
FXY|FXY|||Forest City|Forest City
FYM|FYM|Файетвилл|Файетвилл|Fayetteville|Fayetteville
FYN|FYN|Фуюнь|Фуюнь|Fuyun|Fuyun
FYT|FYT|Файя|Файя|Faya|Faya
FYU|FYU|||Fort Yukon|Fort Yukon
FYV|FYV|Файетвилл|Файетвилл|Fayetteville|Fayetteville
FZO|FZO|Бристоль|Бристоль|Bristol|Bristol
GAA|GAA|Гуамал|Гуамал|Guamal|Guamal
GAB|GAB|||Gabbs|Gabbs
GAC|GAC|Грация|Грация|Gracias|Gracias
GAD|GAD|||Gadsden|Gadsden
GAE|GAE|Габес|Габес|Gabes|Gabes
GAF|GAF|Гафса|Гафса|Gafsa|Gafsa
GAG|GAG|||Gage|Gage
GAH|GAH|||Gayndah|Gayndah
GAI|GAI|||Gaithersburg|Gaithersburg
GAJ|GAJ|Ямагата|Ямагата|Yamagata|Yamagata
GAK|GAK|||Gakona|Gakona
GAL|GAL|||Galena|Galena
GAM|GAM|||Gambell|Gambell
GAN|GAN|Ген-Айленд|Ген-Айленд|Gan Island|Gan Island
GAO|GAO|Гуантанамо|Гуантанамо|Guantanamo|Guantanamo
GAP|GAP|Гусап|Гусап|Gusap|Gusap
GAQ|GAQ|Гао|Гао|Gao|Gao
GAR|GAR|Гарайна|Гарайна|Garaina|Garaina
GAS|GAS|Гарисса|Гарисса|Garissa|Garissa
GAT|GAT|Гап|Гап|Gap|Gap
GAU|GAU|||Gawahati|Gawahati
GAV|GAV|Гаг-Айленд|Гаг-Айленд|Gag Island|Gag Island
GAW|GAW|Ганго|Ганго|Gangaw|Gangaw
GAX|GAX|Гамба|Гамба|Gamba|Gamba
GAY|GAY|Гайя|Гайя|Gaya|Gaya
GAZ|GAZ|||Guasopa|Guasopa
GBA|GBA|Биг-Бей|Биг-Бей|Big Bay|Big Bay
GBB|GBB|Гара-Джебилет|Гара-Джебилет|Gara Djebilet|Gara Djebilet
GBC|GBC|Гасуке|Гасуке|Gasuke|Gasuke
GBD|GBD|||Great Bend|Great Bend
GBE|GBE|Габороне|Габороне|Gaborone|Gaborone
GBF|GBF|Негарбо|Негарбо|Negarbo|Negarbo
GBG|GBG|||Galesburg|Galesburg
GBH|GBH|||Galbraith Lake|Galbraith Lake
GBI|GBI|||Grand Bahama|Grand Bahama
GBJ|GBJ|Мари-Галанте|Мари-Галанте|Marie Galante|Marie Galante
GBK|GBK|Гбангбаток|Гбангбаток|Gbangbatok|Gbangbatok
GBL|GBL|||Goulburn Island|Goulburn Island
GBM|GBM|Гарбахари|Гарбахари|Garbaharey|Garbaharey
GBN|GBN|Сан Джованни Ротондо|Сан Джованни Ротондо|San Giovanni Rotondo|San Giovanni Rotondo
GBO|GBO|Балтимор|Балтимор|Baltimore|Baltimore
GBP|GBP|||Gamboola|Gamboola
GBQ|GBQ|||Muharraq|Muharraq
GBR|GBR|||Great Barrington|Great Barrington
GBS|GBS|Порт-Фицрой|Порт-Фицрой|Port Fitzroy|Port Fitzroy
GBT|GBT|||Gorgan|Gorgan
GBU|GBU|||Khashm El Girba|Khashm El Girba
GBV|GBV|||Gibb River|Gibb River
GBZ|GBZ|Грейт-Барьер-Айленд|Грейт-Барьер-Айленд|Great Barrier Island|Great Barrier Island
GCA|GCA|||Guacamaya|Guacamaya
GCC|GCC|Жилетте|Жилетте|Gillette|Gillette
GCH|GCH|||Gachsaran|Gachsaran
GCI|GCI|Гернси|Гернси|Guernsey|Guernsey
GCJ|GCJ|Йоханнесбург|Йоханнесбург|Johannesburg|Johannesburg
GCK|GCK|||Garden City, KS|Garden City, KS
GCM|GCM|||Georgetown|Georgetown
GCN|GCN|||Grand Canyon|Grand Canyon
GCV|GCV|||Gravatai|Gravatai
GCY|GCY|||Greenville|Greenville
GDA|GDA|Гунда|Гунда|Gounda|Gounda
GDC|GDC|||Greenville|Greenville
GDD|GDD|||Gordon Downs|Gordon Downs
GDE|GDE|||Gode/Iddidole|Gode/Iddidole
GDG|GDG|Магдагачи|Магдагачи|Magdagachi|Magdagachi
GDH|GDH|||Golden Horn Lodge, Alaska|Golden Horn Lodge, Alaska
GDI|GDI|Гордил|Гордил|Gordil|Gordil
GDJ|GDJ|Гандаджика|Гандаджика|Gandajika|Gandajika
GDL|GDL|Гуадалахара|Гуадалахара|Guadalajara|Guadalajara
GDM|GDM|||Gardner|Gardner
GDN|GDN|Гданьск|Гданьск|Gdansk|Gdansk
GDO|GDO|||Guasdualito|Guasdualito
GDP|GDP|Гуадалупе|Гуадалупе|Guadalupe|Guadalupe
GDQ|GDQ|Гондэр|Гондэр|Gondar|Gondar
GDT|GDT|||Grand Turk Is|Grand Turk Is
GDV|GDV|||Glendive|Glendive
GDW|GDW|||Gladwin|Gladwin
GDX|GDX|Магадан|Магадан|Magadan|Magadan
GDZ|GDZ|Геленджик|Геленджик|Gelendzik|Gelendzik
GEA|GEA|||Noumea|Noumea
GEB|GEB|Гебе|Гебе|Gebe|Gebe
GEC|GEC|Геситкале|Геситкале|Gecitkale|Gecitkale
GED|GED|||Georgetown|Georgetown
GEE|GEE|||George Town|George Town
GEF|GEF|Жева-Эйрстрип|Жева-Эйрстрип|Geva|Geva
GEG|GEG|Спокане|Спокане|Spokane|Spokane
GEI|GEI|||Green Islands|Green Islands
GEK|GEK|||Ganes Creek|Ganes Creek
GEL|GEL|||Santo Angelo|Santo Angelo
GEN|GEN|Осло|Осло|Oslo|Oslo
GER|GER|Нуэва-Герона|Нуэва-Герона|Nueva Gerona|Nueva Gerona
GES|GES|Женерал-Сантос|Женерал-Сантос|General Santos|General Santos
GET|GET|||Geraldton|Geraldton
GEV|GEV|Галливаре|Галливаре|Gallivare|Gallivare
GEW|GEW|||Gewoia|Gewoia
GEX|GEX|Гелонг|Гелонг|Geelong|Geelong
GEY|GEY|||Greybull|Greybull
GFA|GFA|||Great Falls|Great Falls
GFB|GFB|||Togiak Fish|Togiak Fish
GFD|GFD|||Greenfield|Greenfield
GFE|GFE|||Grenfell|Grenfell
GFF|GFF|||Griffith|Griffith
GFK|GFK|||Grand Forks|Grand Forks
GFL|GFL|||Glens Falls|Glens Falls
GFN|GFN|||Grafton|Grafton
GFO|GFO|Бартика|Бартика|Bartica|Bartica
GFR|GFR|Гранвиль|Гранвиль|Granville|Granville
GFY|GFY|Грутфонтейн|Грутфонтейн|Grootfontein|Grootfontein
GGC|GGC|Лумбала|Лумбала|Lumbala|Lumbala
GGD|GGD|||Gregory Downs|Gregory Downs
GGE|GGE|||Georgetown|Georgetown
GGG|GGG|||Kilgore|Kilgore
GGL|GGL|Жилгал|Жилгал|Gilgal|Gilgal
GGN|GGN|||Gagnoa|Gagnoa
GGO|GGO|||Guiglo|Guiglo
GGR|GGR|||Garoe|Garoe
GGS|GGS|||Gobernador Gregores|Gobernador Gregores
GGT|GGT|||George Town|George Town
GGW|GGW|||Glasgow|Glasgow
GHA|GHA|||Ghardaia|Ghardaia
GHB|GHB|||Governors Harbour|Governors Harbour
GHC|GHC|||Great Harbour|Great Harbour
GHD|GHD|Гимби|Гимби|Ghimbi|Ghimbi
GHE|GHE|Гарахин|Гарахин|Garachine|Garachine
GHF|GHF|||Giebelstadt|Giebelstadt
GHK|GHK|Гуш-Катиф|Гуш-Катиф|Gush Katif|Gush Katif
GHM|GHM|||Centerville|Centerville
GHN|GHN|Гуанчжань|Гуанчжань|Guanghan|Guanghan
GHT|GHT|Гат|Гат|Ghat|Ghat
GHU|GHU|Гуалегуайчу|Гуалегуайчу|Gualeguaychu|Gualeguaychu
GIB|GIB|Гибралтар|Гибралтар|Gibraltar|Gibraltar
GIC|GIC|||Boigu Island|Boigu Island
GID|GID|||Gitega|Gitega
GIF|GIF|||Winter Haven|Winter Haven
GIG|GIG|||Rio De Janeiro|Rio De Janeiro
GII|GII|Сигуири|Сигуири|Siguiri|Siguiri
GIL|GIL|Гилгит|Гилгит|Gilgit|Gilgit
GIM|GIM|Миеле-Мимбале|Миеле-Мимбале|Miele Mimbale|Miele Mimbale
GIR|GIR|||Girardot|Girardot
GIS|GIS|Гизборн|Гизборн|Gisborne|Gisborne
GIT|GIT|Гейта|Гейта|Geita|Geita
GIU|GIU|Сигирия|Сигирия|Sigiriya|Sigiriya
GIY|GIY|||Giyani|Giyani
GIZ|GIZ|||Jazan|Jazan
GJA|GJA|||Guanaja|Guanaja
GJL|GJL|||Jijel|Jijel
GJM|GJM|||Guajara-Mirim|Guajara-Mirim
GJR|GJR|||Gjogur|Gjogur
GJT|GJT|Гранд Джанкшн|Гранд Джанкшн|Grand Junction|Grand Junction
GKA|GKA|Горока|Горока|Goroka|Goroka
GKE|GKE|Гайленкирхен|Гайленкирхен|Geilenkirchen|Geilenkirchen
GKH|GKH|Горкха|Горкха|Gorkha|Gorkha
GKL|GKL|||Great Keppel Island|Great Keppel Island
GKN|GKN|||Gulkana|Gulkana
GKO|GKO|Конгобумба|Конгобумба|Kongoboumba|Kongoboumba
GKT|GKT|Гатлинбург|Гатлинбург|Gatlinburg|Gatlinburg
GLA|GLA|||Glasgow|Glasgow
GLC|GLC|Гелади|Гелади|Geladi|Geladi
GLD|GLD|||Goodland|Goodland
GLE|GLE|||Gainesville|Gainesville
GLF|GLF|Голфито|Голфито|Golfito|Golfito
GLG|GLG|||Glengyle|Glengyle
GLH|GLH|||Greenville|Greenville
GLI|GLI|||Glen Innes|Glen Innes
GLK|GLK|Галкайо|Галкайо|Galcaio|Galcaio
GLL|GLL|Гол|Гол|Gol|Gol
GLM|GLM|Гленормистон|Гленормистон|Glenormiston|Glenormiston
GLN|GLN|Гулимим|Гулимим|Goulimime|Goulimime
GLO|GLO|Глучестер|Глучестер|Gloucester|Gloucester
GLP|GLP|Гулгубип|Гулгубип|Gulgubip|Gulgubip
GLQ|GLQ|||Glennallen|Glennallen
GLR|GLR|||Gaylord|Gaylord
GLS|GLS|Гелвстон|Гелвстон|Galveston|Galveston
GLT|GLT|Гледстоун|Гледстоун|Gladstone|Gladstone
GLV|GLV|||Golovin|Golovin
GLW|GLW|||Glasgow|Glasgow
GLX|GLX|Галела|Галела|Galela|Galela
GLY|GLY|||Goldsworthy|Goldsworthy
GLZ|GLZ|Бреда|Бреда|Breda|Breda
GMA|GMA|||Gemena|Gemena
GMB|GMB|Гамбела|Гамбела|Gambela|Gambela
GMC|GMC|Герима|Герима|Guerima|Guerima
GME|GME|Гомель|Гомель|Gomel|Gomel
GMI|GMI|Гасмата-Айленд|Гасмата-Айленд|Gasmata Island|Gasmata Island
GMM|GMM|Гамбома|Гамбома|Gamboma|Gamboma
GMN|GMN|Греймауз|Греймауз|Greymouth|Greymouth
GMR|GMR|||Gambier Is|Gambier Is
GMS|GMS|Гимараес|Гимараес|Guimaraes|Guimaraes
GMT|GMT|||Granite Mountain|Granite Mountain
GMU|GMU|||Greenville|Greenville
GMV|GMV|||Monument Valley Gldngs|Monument Valley Gldngs
GMY|GMY|Райндален|Райндален|Rheindahlen|Rheindahlen
GMZ|GMZ|||San Sebas De La Gomera|San Sebas De La Gomera
GNA|GNA|Гродно|Гродно|Grodna|Grodna
GNB|GNB|Гренобль|Гренобль|Grenoble|Grenoble
GND|GND|||St. Georges|St. Georges
GNE|GNE|Гент|Гент|Ghent|Ghent
GNG|GNG|||Gooding|Gooding
GNI|GNI|Грин Айленд|Грин Айленд|Green Island|Green Island
GNM|GNM|||Guanambi|Guanambi
GNN|GNN|Гиннир|Гиннир|Ghinnir|Ghinnir
GNR|GNR|Хенераль-Рока|Хенераль-Рока|General Roca|General Roca
GNS|GNS|Гунунгситоли|Гунунгситоли|Gunungsitoli|Gunungsitoli
GNT|GNT|||Grants|Grants
GNU|GNU|||Goodnews Bay|Goodnews Bay
GNV|GNV|||Gainesville|Gainesville
GNZ|GNZ|Ганзи|Ганзи|Ghanzi|Ghanzi
GOA|GOA|||Genova|Genova
GOB|GOB|Гоба|Гоба|Goba|Goba
GOC|GOC|Гора|Гора|Gora|Gora
GOE|GOE|||Gonalia|Gonalia
GOF|GOF|||San Angelo|San Angelo
GOG|GOG|||Gobabis|Gobabis
GOH|GOH|||Nuuk|Nuuk
GOI|GOI|Гоа|Гоа|Goa|Goa
GOJ|GOJ|Нижний Новгород|Нижний Новгород|Nizhniy Novgorod|Nizhniy Novgorod
GOK|GOK|||Guthrie|Guthrie
GOL|GOL|||Gold Beach|Gold Beach
GOM|GOM|Гома|Гома|Goma|Goma
GON|GON|||New London|New London
GOO|GOO|||Goondiwindi|Goondiwindi
GOP|GOP|Горахпур|Горахпур|Gorakhpur|Gorakhpur
GOQ|GOQ|Голмуд|Голмуд|Golmud|Golmud
GOR|GOR|Гор|Гор|Gore|Gore
GOS|GOS|||Gosford|Gosford
GOT|GOT|Готенбург|Готенбург|Gothenburg|Gothenburg
GOU|GOU|Гаруа|Гаруа|Garoua|Garoua
GOV|GOV|||Gove|Gove
GOY|GOY|Гал-Ойя|Гал-Ойя|Gal Oya|Gal Oya
GOZ|GOZ|||Gorna Oriahovitsa|Gorna Oriahovitsa
GPA|GPA|Патрас|Патрас|Patras|Patras
GPB|GPB|||Guarapuava|Guarapuava
GPI|GPI|Гуапи|Гуапи|Guapi|Guapi
GPL|GPL|Гуапайлз|Гуапайлз|Guapiles|Guapiles
GPN|GPN|||Garden Point|Garden Point
GPO|GPO|Хенераль-Пико|Хенераль-Пико|General Pico|General Pico
GPS|GPS|||Galapagos Is|Galapagos Is
GPT|GPT|||Gulfport|Gulfport
GPZ|GPZ|||Grand Rapids|Grand Rapids
GQJ|GQJ|||Machrihanish|Machrihanish
GQQ|GQQ|||Galion|Galion
GRA|GRA|Гамарра|Гамарра|Gamarra|Gamarra
GRB|GRB|Грин Бэй|Грин Бэй|Green Bay|Green Bay
GRC|GRC|Гранд-Цесс|Гранд-Цесс|Grand Cess|Grand Cess
GRD|GRD|||Greenwood|Greenwood
GRE|GRE|||Greenville|Greenville
GRF|GRF|Такома|Такома|Tacoma|Tacoma
GRG|GRG|Гардез|Гардез|Gardez|Gardez
GRH|GRH|Гаруахи|Гаруахи|Garuahi|Garuahi
GRI|GRI|||Grand Island, NE|Grand Island, NE
GRJ|GRJ|Джордж|Джордж|George|George
GRK|GRK|||Fort Hood, TX|Fort Hood, TX
GRL|GRL|Гараса|Гараса|Garasa|Garasa
GRM|GRM|||Grand Marais|Grand Marais
GRN|GRN|||Gordon|Gordon
GRO|GRO|Герона|Герона|Gerona|Gerona
GRP|GRP|||Gurupi|Gurupi
GRQ|GRQ|Гронинген|Гронинген|Groningen|Groningen
GRR|GRR|||Grand Rapids|Grand Rapids
GRS|GRS|Гроссето|Гроссето|Grosseto|Grosseto
GRT|GRT|Гуджрат|Гуджрат|Gujrat|Gujrat
GRU|GRU|Сао Паоло|Сао Паоло|Sao Paulo|Sao Paulo
GRV|GRV|Грозный|Грозный|Groznyj|Groznyj
GRW|GRW|||Graciosa Island|Graciosa Island
GRX|GRX|Гранада|Гранада|Granada|Granada
GRY|GRY|Гримси|Гримси|Grimsey|Grimsey
GRZ|GRZ|Грац|Грац|Graz|Graz
GSA|GSA|||Long Pasia|Long Pasia
GSB|GSB|||Goldsboro|Goldsboro
GSC|GSC|||Gascoyne Junction|Gascoyne Junction
GSE|GSE|Готенбург|Готенбург|Gothenburg|Gothenburg
GSH|GSH|||Goshen|Goshen
GSI|GSI|Гуадалканал|Гуадалканал|Guadalcanal|Guadalcanal
GSL|GSL|||Taltheilei Narrows|Taltheilei Narrows
GSM|GSM|||Gheshm|Gheshm
GSN|GSN|||Mount Gunson|Mount Gunson
GSO|GSO|||High Point|High Point
GSP|GSP|||Greenville|Greenville
GSQ|GSQ|||Shark Elowainat|Shark Elowainat
GSR|GSR|Гардо|Гардо|Gardo|Gardo
GSS|GSS|||Sabi Sabi|Sabi Sabi
GST|GST|||Gustavus|Gustavus
GSU|GSU|Гедарев|Гедарев|Gedaref|Gedaref
GSY|GSY|Гримсби|Гримсби|Grimsby|Grimsby
GTA|GTA|||Gatokae|Gatokae
GTB|GTB|Гентинг|Гентинг|Genting|Genting
GTC|GTC|||Green Turtle|Green Turtle
GTE|GTE|||Groote Eylandt|Groote Eylandt
GTF|GTF|||Great Falls|Great Falls
GTG|GTG|||Grantsburg|Grantsburg
GTI|GTI|Гюттин|Гюттин|Guettin|Guettin
GTK|GTK|||Sungei Tekai|Sungei Tekai
GTN|GTN|Маунт Кук|Маунт Кук|Mount Cook|Mount Cook
GTO|GTO|Горонтало|Горонтало|Gorontalo|Gorontalo
GTR|GTR|||Columbus|Columbus
GTS|GTS|||Granites|Granites
GTT|GTT|||Georgetown|Georgetown
GTW|GTW|Злин|Злин|Zlin|Zlin
GTY|GTY|Геттисберг|Геттисберг|Gettysburg|Gettysburg
GUA|GUA|Гватемала Сити|Гватемала Сити|Guatemala City|Guatemala City
GUB|GUB|Гверреро-Негро|Гверреро-Негро|Guerrero Negro|Guerrero Negro
GUC|GUC|||Gunnison|Gunnison
GUD|GUD|Гундам|Гундам|Goundam|Goundam
GUE|GUE|||Guriaso|Guriaso
GUF|GUF|||Gulf Shores|Gulf Shores
GUG|GUG|Гуари|Гуари|Guari|Guari
GUH|GUH|||Gunnedah|Gunnedah
GUI|GUI|Гуйриа|Гуйриа|Guiria|Guiria
GUJ|GUJ|||Guaratingueta|Guaratingueta
GUL|GUL|Гоулбурн|Гоулбурн|Goulburn|Goulburn
GUN|GUN|||Montgomery|Montgomery
GUO|GUO|Гуалако|Гуалако|Gualaco|Gualaco
GUP|GUP|Галлап|Галлап|Gallup|Gallup
GUQ|GUQ|Гуанаре|Гуанаре|Guanare|Guanare
GUR|GUR|||Alotau|Alotau
GUS|GUS|||Peru, Indiana|Peru, Indiana
GUT|GUT|||Guetersloh|Guetersloh
GUU|GUU|||Grundarfjordur|Grundarfjordur
GUV|GUV|Мугулу|Мугулу|Mougulu|Mougulu
GUW|GUW|Атырау|Атырау|Atyrau|Atyrau
GUX|GUX|Гуна|Гуна|Guna|Guna
GUY|GUY|||Guymon|Guymon
GUZ|GUZ|||Guarapari|Guarapari
GVA|GVA|Женева|Женева|Geneva|Geneva
GVE|GVE|||Gordonsville|Gordonsville
GVI|GVI|Грин-Ривер|Грин-Ривер|Green River|Green River
GVL|GVL|||Gainesville|Gainesville
GVP|GVP|||Greenvale|Greenvale
GVR|GVR|||Governador Valadares|Governador Valadares
GVT|GVT|||Greenville|Greenville
GVW|GVW|||Grandview|Grandview
GVX|GVX|Гавле|Гавле|Gavle|Gavle
GWA|GWA|||Gwa|Gwa
GWD|GWD|Гвадар|Гвадар|Gwadar|Gwadar
GWE|GWE|Гверу|Гверу|Gweru|Gweru
GWL|GWL|Гвалиор|Гвалиор|Gwalior|Gwalior
GWN|GWN|||Gnarowein|Gnarowein
GWO|GWO|||Greenwood|Greenwood
GWS|GWS|||Glenwood Springs|Glenwood Springs
GWT|GWT|||Westerland|Westerland
GWV|GWV|||Glendale|Glendale
GWW|GWW|Берлин|Берлин|Berlin|Berlin
GWY|GWY|Голуэй|Голуэй|Galway|Galway
GXF|GXF|Сейюн|Сейюн|Seiyun|Seiyun
GXG|GXG|Негаге|Негаге|Negage|Negage
GXH|GXH|Милденхолл|Милденхолл|Mildenhall|Mildenhall
GXQ|GXQ|Койайке|Койайке|Coyhaique|Coyhaique
GXX|GXX|Ягуа|Ягуа|Yagoua|Yagoua
GXY|GXY|||Greeley|Greeley
GYA|GYA|Гуаярамерин|Гуаярамерин|Guayaramerin|Guayaramerin
GYD|GYD|Баку|Баку|Baku|Baku
GYE|GYE|Гуайяквил|Гуайяквил|Guayaquil|Guayaquil
GYI|GYI|Гисеный|Гисеный|Gisenyi|Gisenyi
GYL|GYL|||Argyle|Argyle
GYM|GYM|||Guaymas|Guaymas
GYN|GYN|||Goiania|Goiania
GYP|GYP|||Gympie|Gympie
GYR|GYR|||Goodyear|Goodyear
GYS|GYS|||Guang Yuan|Guang Yuan
GYY|GYY|||Gary (IN)|Gary (IN)
GZI|GZI|Газни|Газни|Ghazni|Ghazni
GZM|GZM|Гозо|Гозо|Gozo|Gozo
GZO|GZO|Гизо|Гизо|Gizo|Gizo
GZT|GZT|Газиантеп|Газиантеп|Gaziantep|Gaziantep
GZW|GZW|||Ghazvin|Ghazvin
HAA|HAA|Хасвик|Хасвик|Hasvik|Hasvik
HAB|HAB|Гамильтон|Гамильтон|Hamilton|Hamilton
HAC|HAC|||Hachijo Jima|Hachijo Jima
HAD|HAD|Халмстад|Халмстад|Halmstad|Halmstad
HAE|HAE|||Havasupai|Havasupai
HAF|HAF|||Half Moon|Half Moon
HAH|HAH|||Moroni|Moroni
HAI|HAI|||Three Rivers|Three Rivers
HAJ|HAJ|Ганновер|Ганновер|Hanover|Hanover
HAK|HAK|Хайкоу|Хайкоу|Haikou|Haikou
HAL|HAL|Халали|Халали|Halali|Halali
HAM|HAM|Гамбург|Гамбург|Hamburg|Hamburg
HAN|HAN|Ханой|Ханой|Hanoi|Hanoi
HAO|HAO|Гамильтон|Гамильтон|Hamilton|Hamilton
HAP|HAP|Лонг Айленд|Лонг Айленд|Long Island|Long Island
HAQ|HAQ|||Hanimaadhoo|Hanimaadhoo
HAR|HAR|||Harrisburg|Harrisburg
HAS|HAS|Хаиль|Хаиль|Hail|Hail
HAT|HAT|||Heathlands|Heathlands
HAU|HAU|Хаугезунд|Хаугезунд|Haugesund|Haugesund
HAV|HAV|Гавана|Гавана|Havana|Havana
HAW|HAW|||Haverfordwest|Haverfordwest
HAX|HAX|||Muskogee|Muskogee
HAY|HAY|||Haycock|Haycock
HAZ|HAZ|Хетцфельдтавен|Хетцфельдтавен|Hatzfeldthaven|Hatzfeldthaven
HBA|HBA|Хобарт|Хобарт|Hobart|Hobart
HBB|HBB|||Hobbs|Hobbs
HBC|HBC|||Hanus Bay|Hanus Bay
HBD|HBD|||Habi|Habi
HBE|HBE|Александрия|Александрия|Alexandria|Alexandria
HBG|HBG|Хаттисберг|Хаттисберг|Hattiesburg|Hattiesburg
HBH|HBH|||Hobart Bay|Hobart Bay
HBI|HBI|Харбор-Айленд|Харбор-Айленд|Harbour Island|Harbour Island
HBL|HBL|Бабелеги|Бабелеги|Babelegi|Babelegi
HBN|HBN|||Phu-bon|Phu-bon
HBO|HBO|||Humboldt|Humboldt
HBR|HBR|||Hobart, OK|Hobart, OK
HBT|HBT|Хафр-Альбатин|Хафр-Альбатин|Hafr Albatin|Hafr Albatin
HBX|HBX|Хубли|Хубли|Hubli|Hubli
HCA|HCA|||Big Spring|Big Spring
HCB|HCB|||Shoal Cove|Shoal Cove
HCC|HCC|||Hudson|Hudson
HCM|HCM|||Eil|Eil
HCN|HCN|||Hengchun|Hengchun
HCQ|HCQ|Холлз Крик|Холлз Крик|Halls Creek|Halls Creek
HCR|HCR|||Holy Cross|Holy Cross
HCS|HCS|Йоханнесбург|Йоханнесбург|Johannesburg|Johannesburg
HCW|HCW|||Cheraw|Cheraw
HDA|HDA|||Hidden Falls|Hidden Falls
HDB|HDB|Хайдельберг|Хайдельберг|Heidelberg|Heidelberg
HDD|HDD|Хидерабад|Хидерабад|Hyderabad|Hyderabad
HDE|HDE|||Holdrege|Holdrege
HDF|HDF|Херингсдорф|Херингсдорф|Heringsdorf|Heringsdorf
HDH|HDH|||Oahu|Oahu
HDM|HDM|Хамадан|Хамадан|Hamadan|Hamadan
HDN|HDN|||Hayden|Hayden
HDR|HDR|||Havadarya|Havadarya
HDS|HDS|||Hoedspruit|Hoedspruit
HDY|HDY|Хат Яй|Хат Яй|Hat Yai|Hat Yai
HEA|HEA|Герат|Герат|Herat|Herat
HEB|HEB|Хензада|Хензада|Henzada|Henzada
HED|HED|||Herendeen|Herendeen
HEE|HEE|Хелена|Хелена|Helena|Helena
HEH|HEH|Хехо|Хехо|Heho|Heho
HEI|HEI|||Heide-Buesum|Heide-Buesum
HEK|HEK|Хейхе|Хейхе|Heihe|Heihe
HEL|HEL|||Vantaa|Vantaa
HEM|HEM|Хельсинки|Хельсинки|Helsinki|Helsinki
HEN|HEN|||Hendon|Hendon
HEO|HEO|||Haelogo|Haelogo
HER|HER|||Heraklion|Heraklion
HES|HES|||Hermiston|Hermiston
HET|HET|Хоххот|Хоххот|Hohhot|Hohhot
HEV|HEV|Гуелва|Гуелва|Huelva|Huelva
HEW|HEW|Афины|Афины|Athens|Athens
HEX|HEX|Санто-Доминго|Санто-Доминго|Santo Domingo|Santo Domingo
HEY|HEY|||Ozark|Ozark
HEZ|HEZ|Натчез|Натчез|Natchez|Natchez
HFA|HFA|Хайфа|Хайфа|Haifa|Haifa
HFD|HFD|Хартфорд|Хартфорд|Hartford|Hartford
HFE|HFE|Хефей|Хефей|Hefei|Hefei
HFF|HFF|||Hoffman|Hoffman
HFN|HFN|||Hornafjordur|Hornafjordur
HFS|HFS|Хагфорс|Хагфорс|Hagfors|Hagfors
HFT|HFT|Хаммерфест|Хаммерфест|Hammerfest|Hammerfest
HGA|HGA|Харгейса|Харгейса|Hargeisa|Hargeisa
HGD|HGD|||Hughenden|Hughenden
HGH|HGH|Ханчжоу|Ханчжоу|Hangzhou|Hangzhou
HGI|HGI|||Higlieg|Higlieg
HGL|HGL|Хелголанд|Хелголанд|Helgoland|Helgoland
HGN|HGN|Мей-Хонг-Сон|Мей-Хонг-Сон|Mae Hong Son|Mae Hong Son
HGO|HGO|||Korhogo|Korhogo
HGR|HGR|||Hagerstown|Hagerstown
HGS|HGS|||Freetown|Freetown
HGT|HGT|||Jolon|Jolon
HGU|HGU|||Mount Hagen|Mount Hagen
HGZ|HGZ|||Hogatza|Hogatza
HHA|HHA|Чанша|Чанша|Changsha|Changsha
HHE|HHE|Хачинохе|Хачинохе|Hachinohe|Hachinohe
HHH|HHH|||Hilton Head|Hilton Head
HHI|HHI|||Wahiawa|Wahiawa
HHN|HHN|||Hahn|Hahn
HHP|HHP|Гонконг|Гонконг|Hong Kong|Hong Kong
HHQ|HHQ|Хуа-Хин|Хуа-Хин|Hua Hin|Hua Hin
HHR|HHR|||Hawthorne|Hawthorne
HHZ|HHZ|Хикуэру|Хикуэру|Hikueru|Hikueru
HIB|HIB|||Chisholm|Chisholm
HIC|HIC|Претория|Претория|Pretoria|Pretoria
HID|HID|Хорн-Айленд|Хорн-Айленд|Horn Island|Horn Island
HIE|HIE|||Whitefield|Whitefield
HIF|HIF|Огден|Огден|Ogden|Ogden
HIG|HIG|Хайбери|Хайбери|Highbury|Highbury
HIH|HIH|Хук-Айленд|Хук-Айленд|Hook Island|Hook Island
HII|HII|||Lake Havasu City|Lake Havasu City
HIJ|HIJ|Хиросима|Хиросима|Hiroshima|Hiroshima
